,GDEKT,GDENAME,Latitude,Longitude,co2_m2
384723,AG,Windisch,47.4773645917497,8.22161390631103,31.915110509409125
384724,AG,Windisch,47.4768850221819,8.22168389014688,28.79198590641361
384725,AG,Windisch,47.4759539529146,8.22157537474695,31.915110509409125
384726,AG,Windisch,47.4779061113539,8.22182901101513,29.796079386773265
384727,AG,Windisch,47.4774223296083,8.22286669492398,25.75214740040053
384728,AG,Windisch,47.4770892835279,8.22327704987773,23.67317129560425
384729,AG,Windisch,47.4782883527885,8.22245147540198,25.195914898734912
384730,AG,Windisch,47.4780089866854,8.22282070699897,32.41276881499605
384731,AG,Windisch,47.477746501636,8.22353500433179,29.796079386773265
384851,AG,Windisch,47.4776035558263,8.22369517659215,29.796079386773265
384852,AG,Windisch,47.4782022250138,8.22335268399317,18.176342305942768
384853,AG,Windisch,47.4782558939535,8.22271420238655,32.41276881499605
384854,AG,Windisch,47.4758089673589,8.22301913801252,26.467603019876773
384855,AG,Windisch,47.4758346957243,8.22343126805214,26.467603019876773
384856,AG,Windisch,47.475997949432,8.22401281100309,32.41276881499605
384857,AG,Windisch,47.4765714917363,8.21568627711997,29.796079386773265
384858,AG,Windisch,47.4764404831643,8.21536398935406,23.835318660420462
384859,AG,Windisch,47.476018652983,8.21579445914477,28.79198590641361
384860,AG,Windisch,47.4757810231427,8.21592004474896,31.915110509409125
384861,AG,Windisch,47.4745967539169,8.21445069080776,28.57694733105132
384862,AG,Windisch,47.4750016257678,8.214169140319,23.67317129560425
384863,AG,Windisch,47.4747373063043,8.21409540240884,26.467603019876773
384864,AG,Windisch,47.4745844397209,8.21380762169599,31.915110509409125
384865,AG,Windisch,47.4753903362591,8.21784234741173,32.41276881499605
384866,AG,Windisch,47.4757759274466,8.21776203998571,27.928966448947413
384867,AG,Windisch,47.4749465111628,8.21751156964177,31.915110509409125
384868,AG,Windisch,47.474362211999,8.21685546149673,26.26992455250224
384869,AG,Windisch,47.4735645150637,8.21657847961504,28.79198590641361
384870,AG,Windisch,47.474948091752,8.21804786645529,29.796079386773265
384871,AG,Windisch,47.4746193021556,8.21788868642999,31.915110509409125
384872,AG,Windisch,47.4742377036102,8.21758551509821,23.835318660420462
384873,AG,Windisch,47.4730114090669,8.2170018362271,28.79198590641361
384874,AG,Windisch,47.4725382155576,8.21661871609689,32.41276881499605
384875,AG,Windisch,47.474838276993,8.21900817662867,32.41276881499605
384876,AG,Windisch,47.4746769122977,8.21930774814917,28.79198590641361
384877,AG,Windisch,47.4742117490144,8.22031669209139,31.915110509409125
384878,AG,Windisch,47.4731215547677,8.21979013338736,31.915110509409125
384879,AG,Windisch,47.4736730242744,8.2201747407117,32.41276881499605
384880,AG,Windisch,47.4736873218623,8.22039773835971,32.41276881499605
384881,AG,Windisch,47.4743238540536,8.2186526114951,32.41276881499605
